source,target,weight
achieve,compensation,0
achieve,conducted,0
achieve,considering,0
achieve,continue,0
achieve,cost,1
achieve,counties,0
achieve,county,0
achieve,court,0
achieve,date,0
achieve,department,0
achieve,departments,0
achieve,deserves,0
achieve,disable,0
achieve,disproportionate,0
achieve,distribute,0
achieve,distribution,0
achieve,durwood,0
achieve,effected,0
achieve,effective,0
achieve,efficiency,1
achieve,election,0
achieve,enabling,0
achieve,end,0
achieve,evidence,0
achieve,exception,0
achieve,executive,0
achieve,experienced,0
achieve,failure,0
achieve,federal,0
achieve,feel,0
achieve,fees,0
achieve,find,0
achieve,fire,0
achieve,fit,0
achieve,follow,0
achieve,foster,0
achieve,friday,0
achieve,fulton,0
achieve,funds,0
achieve,future,0
achieve,general,0
achieve,generally,0
achieve,georgias,0
achieve,governments,0
achieve,grand,0
achieve,granted,0
achieve,greater,1
achieve,guardians,0
achieve,handful,0
achieve,handling,0
achieve,hardfought,0
achieve,homes,0
achieve,however,1
achieve,implementation,0
achieve,improving,0
achieve,inadequate,0
achieve,interest,0
achieve,inure,0
achieve,investigate,0
achieve,investigation,0
achieve,irregularities,0
achieve,items,0
achieve,ivan,0
achieve,judge,0
achieve,jurors,0
achieve,jury,1
achieve,lacking,0
achieve,law,0
achieve,laws,0
achieve,legislators,0
achieve,legislature,0
achieve,less,0
achieve,major,0
achieve,manner,0
achieve,many,0
achieve,may,0
achieve,mayornominate,0
achieve,merger,0
achieve,might,0
achieve,modernizing,0
achieve,money,0
achieve,nevertheless,0
achieve,next,0
achieve,none,0
achieve,number,0
achieve,offices,1
achieve,often,0
achieve,one,0
achieve,operated,0
achieve,orderly,0
achieve,ordinarys,0
achieve,outgoing,0
achieve,outmoded,0
achieve,overall,0
achieve,personnel,0
achieve,place,0
achieve,policies,0
achieve,populous,0
achieve,portion,0
achieve,possible,0
achieve,practices,0
achieve,praise,0
achieve,presentments,0
achieve,primary,0
achieve,problem,0
achieve,produced,0
achieve,program,0
achieve,proportionate,0
achieve,proposed,0
achieve,protected,0
achieve,provide,0
achieve,purchasing,0
achieve,pye,0
achieve,realize,0
achieve,receive,0
achieve,received,0
achieve,receives,0
achieve,recent,0
achieve,recommended,0
achieve,reduce,1
achieve,registration,0
achieve,relative,0
achieve,remedy,0
achieve,reports,0
achieve,reset,0
achieve,result,0
achieve,revised,0
achieve,said,1
achieve,seen,0
achieve,septemberoctober,0
achieve,services,0
achieve,size,0
achieve,state,0
achieve,steps,0
achieve,studied,0
achieve,superior,0
achieve,swipe,0
achieve,take,0
achieve,taxpayers,0
achieve,term,0
achieve,termend,0
achieve,thanks,0
achieve,title,0
achieve,took,0
achieve,topics,0
achieve,two,1
achieve,urged,0
achieve,voters,0
achieve,wards,0
achieve,welfare,0
achieve,well,0
achieve,widespread,0
act,accepted,0
act,achieve,0
act,act,0
act,administration,0
act,administrators,0
act,allen,0
act,also,0
act,ambiguous,0
act,among,0
act,appointment,0
act,appraisers,0
act,assistance,0
act,atlanta,0
act,atlantas,0
act,automobile,0
act,available,0
act,awarding,0
act,believes,0
act,best,0
act,burden,0
act,charge,0
act,charged,0
act,child,0
act,city,0
act,clerical,0
act,combined,0
act,commented,0
act,committee,0
act,compensation,0
act,conducted,0
act,considering,0
act,continue,0
act,cost,0
act,counties,0
act,county,0
act,court,0
act,date,0
act,department,0
act,departments,0
act,deserves,0
act,disable,0
act,disproportionate,0
act,distribute,0
act,distribution,0
act,durwood,0
act,effected,0
act,effective,0
act,efficiency,0
act,election,0
act,enabling,0
act,end,1
act,evidence,0
act,exception,0
act,executive,0
act,experienced,0
act,failure,0
act,federal,0
act,feel,0
act,fees,0
act,find,0
act,fire,0
act,fit,0
act,follow,0
act,foster,0
act,friday,0
act,fulton,1
act,funds,0
act,future,0
act,general,0
act,generally,0
act,georgias,0
act,governments,0
act,grand,0
act,granted,0
act,greater,0
act,guardians,0
act,handful,0
act,handling,0
act,hardfought,0
act,homes,0
act,however,0
act,implementation,0
act,improving,1
act,inadequate,0
act,interest,0
act,inure,0
act,investigate,0
act,investigation,0
act,irregularities,0
act,items,0
act,ivan,0
act,judge,0
act,jurors,0
act,jury,0
act,lacking,0
act,law,0
act,laws,1
act,legislators,1
act,legislature,0
act,less,0
act,major,0
act,manner,0
act,many,0
act,may,0
act,mayornominate,0
act,merger,0
act,might,0
act,modernizing,1
act,money,0
act,nevertheless,0
act,next,0
act,none,0
act,number,0
act,offices,0
act,often,0
act,one,0
act,operated,0
act,orderly,0
act,ordinarys,0
act,outgoing,0
act,outmoded,0
act,overall,0
act,personnel,0
act,place,0
act,policies,0
act,populous,0
act,portion,0
act,possible,0
act,practices,0
act,praise,0
act,presentments,0
act,primary,0
act,problem,0
act,produced,0
act,program,0
act,proportionate,0
act,proposed,0
act,protected,0
act,provide,0
act,purchasing,0
act,pye,0
act,realize,0
act,receive,0
act,received,0
act,receives,0
act,recent,0
act,recommended,1
act,reduce,0
act,registration,0
act,relative,0
act,remedy,0
act,reports,0
act,reset,0
act,result,0
act,revised,1
act,said,0
act,seen,0
act,septemberoctober,0
act,services,0
act,size,0
act,state,0
act,steps,0
act,studied,1
act,superior,0
act,swipe,0
act,take,0
act,taxpayers,0
act,term,0
act,termend,0
act,thanks,0
act,title,0
act,took,0
act,topics,0
act,two,0
act,urged,0
act,voters,0
act,wards,0
act,welfare,0
act,well,0
act,widespread,0
administration,accepted,0
administration,achieve,1
administration,act,0
administration,administration,0
administration,administrators,0
administration,allen,0
administration,also,0
administration,ambiguous,0
administration,among,0
administration,appointment,0
administration,appraisers,0
administration,assistance,0
administration,atlanta,0
administration,atlantas,0
administration,automobile,0
administration,available,0
administration,awarding,0
administration,believes,1
administration,best,0
administration,burden,0
administration,charge,0
administration,charged,0
administration,child,0
administration,city,0
administration,clerical,0
administration,combined,1
administration,commented,0
administration,committee,0
administration,compensation,0
administration,conducted,0
administration,considering,0
administration,continue,0
administration,cost,1
administration,counties,0
administration,county,0
administration,court,0
administration,date,0
administration,department,0
administration,departments,0
administration,deserves,0
administration,disable,0
administration,disproportionate,0
administration,distribute,0
administration,distribution,0
administration,durwood,0
administration,effected,0
administration,effective,0
administration,efficiency,1
administration,election,0
administration,enabling,0
administration,end,0
administration,evidence,0
administration,exception,0
administration,executive,0
administration,experienced,0
administration,failure,0
administration,federal,0
administration,feel,0
administration,fees,0
administration,find,0
administration,fire,0
administration,fit,0
administration,follow,0
administration,foster,0
administration,friday,0
administration,fulton,0
administration,funds,0
administration,future,0
administration,general,0
administration,generally,0
administration,georgias,0
administration,governments,0
administration,grand,0
administration,granted,0
administration,greater,1
administration,guardians,0
administration,handful,0
administration,handling,0
administration,hardfought,0
administration,homes,0
administration,however,1
administration,implementation,0
administration,improving,0
administration,inadequate,0
administration,interest,0
administration,inure,0
administration,investigate,0
administration,investigation,0
administration,irregularities,0
administration,items,0
administration,ivan,0
administration,judge,0
administration,jurors,0
administration,jury,1
administration,lacking,0
administration,law,0
administration,laws,0
administration,legislators,0
administration,legislature,0
administration,less,0
administration,major,0
administration,manner,0
administration,many,0
administration,may,0
administration,mayornominate,0
administration,merger,0
administration,might,0
administration,modernizing,0
administration,money,0
administration,nevertheless,0
administration,next,0
administration,none,0
administration,number,0
administration,offices,1
administration,often,0
administration,one,0
administration,operated,0
administration,orderly,0
administration,ordinarys,0
administration,outgoing,0
administration,outmoded,0
administration,overall,0
administration,personnel,0
administration,place,0
administration,policies,0
administration,populous,0
administration,portion,0
administration,possible,0
administration,practices,0
administration,praise,0
administration,presentments,0
administration,primary,0
administration,problem,0
administration,produced,0
administration,program,0
administration,proportionate,0
administration,proposed,0
administration,protected,0
administration,provide,0
administration,purchasing,0
administration,pye,0
administration,realize,0
administration,receive,0
administration,received,0
administration,receives,0
administration,recent,0
administration,recommended,0
administration,reduce,1
administration,registration,0
administration,relative,0
administration,remedy,0
administration,reports,0
administration,reset,0
administration,result,0
administration,revised,0
administration,said,1
administration,seen,0
administration,septemberoctober,0
administration,services,0
administration,size,0
administration,state,0
administration,steps,0
administration,studied,0
administration,superior,0
administration,swipe,0
administration,take,0
administration,taxpayers,0
administration,term,0
administration,termend,0
administration,thanks,0
administration,title,0
administration,took,0
administration,topics,0
administration,two,1
administration,urged,0
administration,voters,0
administration,wards,0
administration,welfare,0
administration,well,0
administration,widespread,0
administrators,accepted,0
administrators,achieve,0
administrators,act,0
administrators,administration,0
administrators,administrators,0
administrators,allen,0
administrators,also,1
administrators,ambiguous,0
administrators,among,0
administrators,appointment,1
administrators,appraisers,1
administrators,assistance,0
administrators,atlanta,0
administrators,atlantas,0
administrators,automobile,0
administrators,available,0
administrators,awarding,1
administrators,believes,0
administrators,best,0
administrators,burden,0
administrators,charge,0
administrators,charged,0
administrators,child,0
administrators,city,0
administrators,clerical,0
administrators,combined,0
administrators,commented,1
administrators,committee,0
administrators,compensation,1
administrators,conducted,0
administrators,considering,0
administrators,continue,0
administrators,cost,0
administrators,counties,0
administrators,county,0
administrators,court,1
administrators,date,0
administrators,department,0
administrators,departments,0
administrators,deserves,0
administrators,disable,0
administrators,disproportionate,0
administrators,distribute,0
administrators,distribution,0
administrators,durwood,0
administrators,effected,0
administrators,effective,0
administrators,efficiency,0
administrators,election,0
administrators,enabling,0
administrators,end,0
administrators,evidence,0
administrators,exception,0
administrators,executive,0
administrators,experienced,0
administrators,failure,0
administrators,federal,0
administrators,feel,0
administrators,fees,1
administrators,find,0
administrators,fire,1
administrators,fit,0
administrators,follow,0
administrators,foster,0
administrators,friday,0
administrators,fulton,1
administrators,funds,0
administrators,future,0
administrators,general,0
administrators,generally,0
administrators,georgias,0
administrators,governments,0
administrators,grand,0
administrators,granted,0
administrators,greater,0
administrators,guardians,1
administrators,handful,0
administrators,handling,0
administrators,hardfought,0
administrators,homes,0
administrators,however,0
administrators,implementation,0
administrators,improving,0
administrators,inadequate,0
administrators,interest,0
administrators,inure,0
administrators,investigate,0
administrators,investigation,0
administrators,irregularities,0
administrators,items,0
administrators,ivan,0
administrators,judge,0
administrators,jurors,0
administrators,jury,1
administrators,lacking,0
administrators,law,0
administrators,laws,0
administrators,legislators,0
administrators,legislature,0
administrators,less,0
administrators,major,0
administrators,manner,0
administrators,many,0
administrators,may,0
administrators,mayornominate,0
administrators,merger,0
administrators,might,0
administrators,modernizing,0
administrators,money,0
administrators,nevertheless,0
administrators,next,0
administrators,none,0
administrators,number,0
administrators,offices,0
administrators,often,0
administrators,one,0
administrators,operated,0
administrators,orderly,0
administrators,ordinarys,1
administrators,outgoing,0
administrators,outmoded,0
administrators,overall,0
administrators,personnel,0
administrators,place,0
administrators,policies,0
administrators,populous,0
administrators,portion,0
administrators,possible,0
administrators,practices,1
administrators,praise,0
administrators,presentments,0
administrators,primary,0
administrators,problem,0
administrators,produced,0
administrators,program,0
administrators,proportionate,0
administrators,proposed,0
administrators,protected,0
administrators,provide,0
administrators,purchasing,0
administrators,pye,0
administrators,realize,0
administrators,receive,0
administrators,received,0
administrators,receives,0
administrators,recent,0
administrators,recommended,0
administrators,reduce,0
administrators,registration,0
administrators,relative,0
administrators,remedy,0
administrators,reports,0
administrators,reset,0
administrators,result,0
administrators,revised,0
administrators,said,0
administrators,seen,0
administrators,septemberoctober,0
administrators,services,0
administrators,size,0
administrators,state,0
administrators,steps,0
administrators,studied,0
administrators,superior,0
administrators,swipe,0
administrators,take,0
administrators,taxpayers,0
administrators,term,0
administrators,termend,0
administrators,thanks,0
administrators,title,0
administrators,took,0
administrators,topics,0
administrators,two,0
administrators,urged,0
administrators,voters,0
administrators,wards,0
administrators,welfare,0
administrators,well,0
administrators,widespread,0
allen,accepted,0
allen,achieve,0
allen,act,0
allen,administration,0
allen,administrators,0
allen,allen,0
allen,also,0
allen,ambiguous,0
allen,among,0
allen,appointment,0
allen,appraisers,0
allen,assistance,0
allen,atlanta,0
allen,atlantas,0
allen,automobile,0
allen,available,0
allen,awarding,0
allen,believes,0
allen,best,0
allen,burden,0
allen,charge,0
allen,charged,1
allen,child,0
allen,city,0
allen,clerical,0
allen,combined,0
allen,commented,0
allen,committee,0
allen,compensation,0
allen,conducted,0
allen,considering,0
allen,continue,0
allen,cost,0
allen,counties,0
allen,county,0
allen,court,1
allen,date,0
allen,department,0
allen,departments,0
allen,deserves,0
allen,disable,0
allen,disproportionate,0
allen,distribute,0
allen,distribution,0
allen,durwood,1
allen,effected,0
allen,effective,0
allen,efficiency,0
allen,election,0
allen,enabling,0
allen,end,0
allen,evidence,0
allen,exception,0
allen,executive,0
allen,experienced,0
allen,failure,0
allen,federal,0
allen,feel,0
allen,fees,0
allen,find,0
allen,fire,0
allen,fit,0
allen,follow,0
allen,foster,0
allen,friday,0
allen,fulton,1
allen,funds,0
allen,future,0
allen,general,0
allen,generally,0
allen,georgias,0
allen,governments,0
allen,grand,0
allen,granted,0
allen,greater,0
allen,guardians,0
allen,handful,0
allen,handling,0
allen,hardfought,1
allen,homes,0
allen,however,0
allen,implementation,0
allen,improving,0
allen,inadequate,0
allen,interest,0
allen,inure,0
allen,investigate,1
allen,investigation,0
allen,irregularities,1
allen,items,0
allen,ivan,1
allen,judge,1
allen,jurors,0
allen,jury,1
allen,lacking,0
allen,law,0
allen,laws,0
allen,legislators,0
allen,legislature,0
allen,less,0
allen,major,0
allen,manner,0
allen,many,0
allen,may,0
allen,mayornominate,1
allen,merger,0
allen,might,0
allen,modernizing,0
allen,money,0
allen,nevertheless,0
allen,next,0
allen,none,0
allen,number,0
allen,offices,0
allen,often,0
allen,one,0
allen,operated,0
allen,orderly,0
allen,ordinarys,0
allen,outgoing,0
allen,outmoded,0
allen,overall,0
allen,personnel,0
allen,place,0
allen,policies,0
allen,populous,0
allen,portion,0
allen,possible,1
allen,practices,0
allen,praise,0
allen,presentments,0
allen,primary,1
allen,problem,0
allen,produced,0
allen,program,0
allen,proportionate,0
allen,proposed,0
allen,protected,0
allen,provide,0
allen,purchasing,0
allen,pye,1
allen,realize,0
allen,receive,0
allen,received,0
allen,receives,0
allen,recent,0
allen,recommended,0
allen,reduce,0
allen,registration,0
allen,relative,0
allen,remedy,0
allen,reports,1
allen,reset,0
allen,result,0
allen,revised,0
allen,said,0
allen,seen,0
allen,septemberoctober,1
allen,services,0
allen,size,0
allen,state,0
allen,steps,0
allen,studied,0
allen,superior,1
allen,swipe,0
allen,take,0
allen,taxpayers,0
allen,term,1
allen,termend,0
allen,thanks,0
allen,title,0
allen,took,0
allen,topics,0
allen,two,0
allen,urged,0
allen,voters,0
allen,wards,0
allen,welfare,0
allen,well,0
allen,widespread,0
also,accepted,0
also,achieve,0
also,act,0
also,administration,0
also,administrators,1
also,allen,0
also,also,0
also,ambiguous,0
also,among,0
also,appointment,1
also,appraisers,1
also,assistance,0
also,atlanta,0
also,atlantas,0
also,automobile,1
also,available,0
also,awarding,1
also,believes,0
also,best,0
also,burden,0
also,charge,0
also,charged,0
also,child,0
also,city,0
also,clerical,0
also,combined,0
also,commented,1
also,committee,0
also,compensation,1
also,conducted,0
also,considering,0
also,continue,0
also,cost,0
also,counties,0
also,county,0
also,court,1
also,date,0
also,department,0
also,departments,0
also,deserves,0
also,disable,0
also,disproportionate,0
also,distribute,0
also,distribution,0
also,durwood,0
also,effected,0
also,effective,0
also,efficiency,0
also,election,0
also,enabling,0
also,end,0
also,evidence,0
also,exception,0
also,executive,0
also,experienced,0
also,failure,0
also,federal,0
also,feel,0
also,fees,1
also,find,0
also,fire,1
also,fit,0
also,follow,0
also,foster,0
also,friday,0
also,fulton,1
also,funds,0
also,future,0
also,general,0
also,generally,0
also,georgias,1
also,governments,0
also,grand,0
also,granted,0
also,greater,0
also,guardians,1
also,handful,0
also,handling,0
also,hardfought,0
also,homes,0
also,however,0
also,implementation,1
also,improving,0
also,inadequate,0
also,interest,0
also,inure,0
also,investigate,0
also,investigation,0
also,irregularities,0
also,items,0
also,ivan,0
also,judge,0
also,jurors,0
also,jury,2
also,lacking,0
also,law,1
also,laws,0
also,legislators,0
also,legislature,0
also,less,0
also,major,0
also,manner,0
also,many,0
also,may,0
also,mayornominate,0
also,merger,0
also,might,0
also,modernizing,0
also,money,0
also,nevertheless,0
also,next,0
also,none,0
also,number,0
also,offices,0
also,often,0
also,one,0
also,operated,0
also,orderly,0
also,ordinarys,1
also,outgoing,1
also,outmoded,0
also,overall,0
also,personnel,0
also,place,0
also,policies,0
also,populous,0
also,portion,0
also,possible,0
also,practices,1
also,praise,0
also,presentments,0
also,primary,0
also,problem,0
also,produced,0
also,program,0
also,proportionate,0
also,proposed,0
also,protected,0
also,provide,0
also,purchasing,0
also,pye,0
also,realize,0
also,receive,0
also,received,0
also,receives,0
also,recent,0
also,recommended,1
also,reduce,0
also,registration,0
also,relative,0
also,remedy,0
also,reports,0
also,reset,0
also,result,0
also,revised,0
also,said,0
also,seen,0
also,septemberoctober,0
also,services,0
also,size,0
also,state,0
also,steps,0
also,studied,0
also,superior,0
also,swipe,0
also,take,0
also,taxpayers,0
also,term,0
also,termend,0
also,thanks,0
also,title,1
also,took,0
also,topics,0
also,two,0
also,urged,0
also,voters,0
also,wards,0
also,welfare,0
also,well,0
also,widespread,0
ambiguous,accepted,0
ambiguous,achieve,0
ambiguous,act,0
ambiguous,administration,0
ambiguous,administrators,0
ambiguous,allen,0
ambiguous,also,0
ambiguous,ambiguous,0
ambiguous,among,0
ambiguous,appointment,0
ambiguous,appraisers,0
ambiguous,assistance,0
ambiguous,atlanta,0
ambiguous,atlantas,0
ambiguous,automobile,0
ambiguous,available,0
ambiguous,awarding,0
ambiguous,believes,0
ambiguous,best,0
ambiguous,burden,0
ambiguous,charge,0
ambiguous,charged,0
ambiguous,child,0
ambiguous,city,0
ambiguous,clerical,0
ambiguous,combined,0
ambiguous,commented,0
ambiguous,committee,0
ambiguous,compensation,0
ambiguous,conducted,0
ambiguous,considering,0
ambiguous,continue,0
ambiguous,cost,0
ambiguous,counties,0
ambiguous,county,0
ambiguous,court,0
ambiguous,date,0
ambiguous,department,0
ambiguous,departments,0
ambiguous,deserves,0
ambiguous,disable,0
ambiguous,disproportionate,0
ambiguous,distribute,0
ambiguous,distribution,0
ambiguous,durwood,0
ambiguous,effected,0
ambiguous,effective,0
ambiguous,efficiency,0
ambiguous,election,1
ambiguous,enabling,0
ambiguous,end,0
ambiguous,evidence,0
ambiguous,exception,0
ambiguous,executive,0
ambiguous,experienced,0
ambiguous,failure,0
ambiguous,federal,0
ambiguous,feel,0
ambiguous,fees,0
ambiguous,find,1
ambiguous,fire,0
ambiguous,fit,0
ambiguous,follow,0
ambiguous,foster,0
ambiguous,friday,0
ambiguous,fulton,0
ambiguous,funds,0
ambiguous,future,0
ambiguous,general,0
ambiguous,generally,0
ambiguous,georgias,1
ambiguous,governments,0
ambiguous,grand,0
ambiguous,granted,0
ambiguous,greater,0
ambiguous,guardians,0
ambiguous,handful,0
ambiguous,handling,0
ambiguous,hardfought,0
ambiguous,homes,0
ambiguous,however,0
ambiguous,implementation,0
ambiguous,improving,0
ambiguous,inadequate,1
ambiguous,interest,0
ambiguous,inure,0
ambiguous,investigate,0
ambiguous,investigation,0
ambiguous,irregularities,0
ambiguous,items,0
ambiguous,ivan,0
ambiguous,judge,0
ambiguous,jurors,0
ambiguous,jury,1
ambiguous,lacking,0
ambiguous,law,0
ambiguous,laws,1
ambiguous,legislators,0
ambiguous,legislature,0
ambiguous,less,0
ambiguous,major,0
ambiguous,manner,0
ambiguous,many,1
ambiguous,may,0
ambiguous,mayornominate,0
ambiguous,merger,0
ambiguous,might,0
ambiguous,modernizing,0
ambiguous,money,0
ambiguous,nevertheless,0
ambiguous,next,0
ambiguous,none,0
ambiguous,number,0
ambiguous,offices,0
ambiguous,often,1
ambiguous,one,0
ambiguous,operated,0
ambiguous,orderly,0
ambiguous,ordinarys,0
ambiguous,outgoing,0
ambiguous,outmoded,1
ambiguous,overall,0
ambiguous,personnel,0
ambiguous,place,0
ambiguous,policies,0
ambiguous,populous,0
ambiguous,portion,0
ambiguous,possible,0
ambiguous,practices,0
ambiguous,praise,0
ambiguous,presentments,0
ambiguous,primary,0
ambiguous,problem,0
ambiguous,produced,0
ambiguous,program,0
ambiguous,proportionate,0
ambiguous,proposed,0
ambiguous,protected,0
ambiguous,provide,0
ambiguous,purchasing,0
ambiguous,pye,0
ambiguous,realize,0
ambiguous,receive,0
ambiguous,received,0
ambiguous,receives,0
ambiguous,recent,0
ambiguous,recommended,0
ambiguous,reduce,0
ambiguous,registration,1
ambiguous,relative,0
ambiguous,remedy,0
ambiguous,reports,0
ambiguous,reset,0
ambiguous,result,0
ambiguous,revised,0
ambiguous,said,1
ambiguous,seen,0
ambiguous,septemberoctober,0
ambiguous,services,0
ambiguous,size,0
ambiguous,state,0
ambiguous,steps,0
ambiguous,studied,0
ambiguous,superior,0
ambiguous,swipe,0
ambiguous,take,0
ambiguous,taxpayers,0
ambiguous,term,0
ambiguous,termend,0
ambiguous,thanks,0
ambiguous,title,0
ambiguous,took,0
ambiguous,topics,0
ambiguous,two,0
ambiguous,urged,0
ambiguous,voters,0
ambiguous,wards,0
ambiguous,welfare,0
ambiguous,well,0
ambiguous,widespread,0
among,accepted,1
among,achieve,0
among,act,0
among,administration,0
among,administrators,0
among,allen,0
among,also,0
among,ambiguous,0
among,among,0
among,appointment,0
among,appraisers,0
among,assistance,0
among,atlanta,1
among,atlantas,0
among,automobile,0
among,available,0
among,awarding,0
among,believes,0
among,best,1
among,burden,0
among,charge,0
among,charged,0
among,child,0
among,city,0
among,clerical,0
among,combined,0
among,commented,1
among,committee,0
among,compensation,0
among,conducted,0
among,considering,0
among,continue,0
among,cost,0
among,counties,0
among,county,1
among,court,0
among,date,0
among,department,0
among,departments,1
among,deserves,0
among,disable,0
among,disproportionate,0
among,distribute,0
among,distribution,0
among,durwood,0
among,effected,0
among,effective,0
among,efficiency,0
among,election,0
among,enabling,0
among,end,0
among,evidence,0
among,exception,0
among,executive,0
among,experienced,0
among,failure,0
among,federal,0
among,feel,0
among,fees,0
among,find,0
among,fire,0
among,fit,0
among,follow,1
among,foster,0
among,friday,0
among,fulton,1
among,funds,0
among,future,0
among,general,0
among,generally,1
among,georgias,0
among,governments,1
among,grand,1
among,granted,0
among,greater,0
among,guardians,0
among,handful,0
among,handling,0
among,hardfought,0
among,homes,0
among,however,0
among,implementation,0
among,improving,0
among,inadequate,0
among,interest,1
among,inure,1
among,investigate,0
among,investigation,0
among,irregularities,0
among,items,0
among,ivan,0
among,judge,0
among,jurors,0
among,jury,1
among,lacking,0
among,law,0
among,laws,0
among,legislators,0
among,legislature,0
among,less,0
among,major,0
among,manner,0
among,many,0
among,may,0
among,mayornominate,0
among,merger,0
among,might,0
among,modernizing,0
among,money,0
among,nevertheless,0
among,next,0
among,none,0
among,number,1
among,offices,0
among,often,0
among,one,0
among,operated,1
among,orderly,0
among,ordinarys,0
among,outgoing,0
among,outmoded,0
among,overall,0
among,personnel,0
among,place,0
among,policies,0
among,populous,0
among,portion,0
among,possible,0
among,practices,1
among,praise,0
among,presentments,0
among,primary,0
among,problem,0
among,produced,0
among,program,0
among,proportionate,0
among,proposed,0
among,protected,0
among,provide,0
among,purchasing,1
among,pye,0
among,realize,0
among,receive,0
among,received,0
among,receives,0
among,recent,0
among,recommended,0
among,reduce,0
among,registration,0
among,relative,0
among,remedy,0
among,reports,0
among,reset,0
among,result,0
among,revised,0
among,said,1
among,seen,0
among,septemberoctober,0
among,services,0
among,size,0
among,state,0
among,steps,0
among,studied,0
among,superior,0
among,swipe,0
among,take,0
among,taxpayers,0
among,term,0
among,termend,0
among,thanks,0
among,title,0
among,took,0
among,topics,1
among,two,0
among,urged,0
among,voters,0
among,wards,0
among,welfare,0
among,well,1
among,widespread,0
appointment,accepted,0
appointment,achieve,0
appointment,act,0
appointment,administration,0
appointment,administrators,1
appointment,allen,0
appointment,also,1
appointment,ambiguous,0
appointment,among,0
appointment,appointment,0
appointment,appraisers,1
appointment,assistance,0
